System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D304"
Last test date,,"Monday, September 16, 2024"
Last test time,,"5:19:06 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"304"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.20"
Grip Diameter,(mm),"12.88"
Rockwell Hardness,,"100.6"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"3.87"
Fracture Notes and Location,,"VERY DUCTILE CUP CONE STRUCTURE. SAMPLE BECAME MAGNETIC AT FAIL SURFACE WHERE IT WASN'T BEFORE"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"28.78"
Maximum Strain,(%),"50.26"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"172.00","11.47","27.41","0.1569"
"172.50","11.50","27.42","0.1576"
"173.00","11.53","27.43","0.1582"
"173.50","11.57","27.44","0.1589"
"174.00","11.60","27.45","0.1595"
"174.50","11.63","27.46","0.1601"
"175.00","11.67","27.48","0.1608"
"175.50","11.70","27.48","0.1614"
"176.00","11.73","27.50","0.1621"
"176.50","11.77","27.51","0.1627"
"177.00","11.80","27.51","0.1633"
"177.50","11.83","27.53","0.1640"
"178.00","11.87","27.53","0.1646"
"178.50","11.90","27.54","0.1653"
"179.00","11.93","27.55","0.1659"
"179.50","11.97","27.56","0.1666"
"180.00","12.00","27.58","0.1672"
"180.50","12.03","27.59","0.1679"
"181.00","12.07","27.59","0.1685"
"181.50","12.10","27.60","0.1691"
"182.00","12.13","27.61","0.1698"
"182.50","12.17","27.62","0.1704"
"183.00","12.20","27.63","0.1711"
"183.50","12.23","27.65","0.1717"
"184.00","12.27","27.65","0.1723"
"184.50","12.30","27.66","0.1730"
"185.00","12.33","27.66","0.1736"
"185.50","12.37","27.67","0.1743"
"186.00","12.40","27.69","0.1749"
"186.50","12.43","27.69","0.1756"
"187.00","12.47","27.70","0.1762"
